date_int,time_seconds,open,high,low,close,volume
20260101,0,87940.48,87940.48,87903.53,87903.54,8.66971
20260101,60,87903.54,87937.73,87903.53,87937.72,5.68718
20260101,120,87937.73,87937.73,87909.47,87914.41,4.38899
20260101,180,87914.4,87914.41,87904.06,87904.06,1.89452
20260101,240,87904.06,87904.07,87885.39,87885.4,1.27354
20260101,300,87885.4,87885.4,87865.94,87865.94,2.11034
20260101,360,87865.95,87900.42,87865.94,87900.42,4.00967
20260101,420,87900.42,87904.07,87865.55,87865.56,6.19174
20260101,480,87865.56,87871.97,87850.0,87850.0,2.4534
20260101,540,87850.01,87850.01,87831.92,87836.33,7.15532
20260101,600,87836.33,87894.95,87836.33,87882.17,8.61551
20260101,660,87882.17,87892.22,87864.89,87864.9,5.26928
20260101,720,87864.9,87870.24,87840.09,87840.1,3.25947
20260101,780,87840.09,87840.1,87820.51,87826.78,4.81594
20260101,840,87826.78,87872.17,87826.78,87872.16,2.45735
20260101,900,87872.16,87882.21,87867.81,87867.82,5.34215
20260101,960,87867.81,87867.81,87833.26,87842.26,10.09586
20260101,1020,87842.25,87842.25,87786.87,87786.87,8.20401
20260101,1080,87786.88,87786.88,87741.99,87786.33,10.65606
20260101,1140,87786.33,87793.12,87755.19,87755.19,6.26931
20260101,1200,87755.19,87755.19,87723.22,87723.23,2.29443
20260101,1260,87723.23,87723.23,87698.0,87698.01,5.33642
20260101,1320,87698.01,87721.95,87698.0,87705.68,4.56717
20260101,1380,87705.68,87724.69,87705.68,87716.52,7.83483
20260101,1440,87716.52,87737.42,87716.51,87737.42,10.37228
20260101,1500,87737.42,87737.42,87730.56,87732.34,8.02257
20260101,1560,87732.34,87732.94,87705.68,87732.94,5.97066
20260101,1620,87732.94,87732.94,87728.55,87728.55,1.1576
20260101,1680,87728.56,87728.56,87689.6,87689.62,6.60225
20260101,1740,87689.61,87689.62,87684.07,87684.07,2.34296
20260101,1800,87684.08,87775.53,87684.08,87775.53,10.79906
20260101,1860,87775.52,87786.0,87761.91,87761.92,12.59106
20260101,1920,87761.91,87786.91,87761.91,87786.9,3.78391
20260101,1980,87786.91,87794.12,87786.9,87788.19,3.26479
20260101,2040,87788.18,87793.2,87765.75,87792.82,5.15017
20260101,2100,87792.82,87792.82,87745.17,87747.11,4.91045
20260101,2160,87747.12,87747.12,87724.84,87735.29,8.27697
20260101,2220,87735.3,87796.3,87735.29,87796.29,5.82162
20260101,2280,87796.3,87811.14,87796.29,87811.14,9.9815
20260101,2340,87811.13,87836.0,87770.0,87770.01,7.4171
20260101,2400,87770.0,87819.2,87763.03,87819.19,6.8689
20260101,2460,87819.19,87834.0,87811.74,87824.75,4.52318
20260101,2520,87824.75,87865.56,87824.75,87865.55,4.84291
20260101,2580,87865.55,87870.02,87828.9,87828.9,7.31514
20260101,2640,87828.9,87828.91,87786.11,87786.11,2.71106
20260101,2700,87786.11,87798.19,87786.1,87794.7,5.65051
20260101,2760,87794.7,87805.93,87794.69,87800.0,2.05901
20260101,2820,87800.0,87800.01,87790.38,87791.2,1.8179
20260101,2880,87791.2,87796.92,87779.74,87796.92,4.08391
20260101,2940,87796.92,87799.11,87793.41,87793.41,2.31016
20260101,3000,87793.41,87830.97,87793.41,87795.57,5.6216
20260101,3060,87795.57,87795.57,87774.51,87774.51,3.63519
20260101,3120,87774.51,87774.52,87718.0,87718.01,7.12319
20260101,3180,87718.01,87771.35,87718.0,87771.34,4.10199
20260101,3240,87771.35,87777.57,87745.32,87745.33,3.42377
20260101,3300,87745.32,87745.32,87672.26,87672.27,16.73342
20260101,3360,87672.26,87713.33,87672.2,87713.32,20.81387
20260101,3420,87713.32,87760.02,87713.32,87760.01,7.54012
20260101,3480,87760.01,87760.01,87746.97,87746.98,11.67057
20260101,3540,87746.97,87751.8,87731.6,87737.06,32.56873
20260101,3600,87737.07,87743.7,87702.6,87702.6,37.20153
20260101,3660,87702.61,87731.22,87700.0,87700.01,39.10388
20260101,3720,87700.02,87724.0,87679.55,87718.29,39.49045
20260101,3780,87718.28,87724.2,87705.02,87705.03,26.53601
20260101,3840,87705.02,87705.02,87670.03,87670.03,14.5589
20260101,3900,87670.03,87691.75,87670.03,87691.74,5.55135
20260101,3960,87691.74,87691.75,87681.46,87681.46,1.69276
20260101,4020,87681.46,87695.98,87677.95,87691.53,8.96167
20260101,4080,87691.54,87691.54,87650.0,87650.03,7.08971
20260101,4140,87650.03,87652.43,87631.13,87652.43,4.6366
20260101,4200,87652.43,87696.0,87647.68,87695.99,6.05923
20260101,4260,87696.0,87702.1,87685.85,87685.86,3.17351
20260101,4320,87685.86,87718.76,87685.85,87689.31,7.80996
20260101,4380,87689.31,87689.32,87648.0,87648.0,3.21914
20260101,4440,87648.0,87648.01,87630.4,87644.66,2.97217
20260101,4500,87644.66,87647.84,87638.51,87646.35,5.32407
20260101,4560,87646.35,87674.02,87637.67,87674.01,4.25266
20260101,4620,87674.02,87674.45,87637.67,87674.44,11.39655
20260101,4680,87674.44,87714.0,87674.44,87691.59,7.70339
20260101,4740,87691.59,87691.6,87690.54,87691.05,1.78693
20260101,4800,87691.05,87691.05,87678.0,87678.01,2.79811
20260101,4860,87678.0,87678.01,87669.98,87675.36,4.27342
20260101,4920,87675.37,87684.87,87675.36,87675.37,4.03512
20260101,4980,87675.37,87675.37,87644.68,87644.68,6.03197
